vendor,overall_avg_price,overall_avg_unit_price
Galleria,7.19642109064644,
Loblaws,6.3342441044898,0.0
Metro,6.82276643511147,0.0
NoFrills,5.50956100845324,0.0
SaveOnFoods,7.91753887703142,0.0
TandT,5.19930592632141,
Voila,4.78696435965329,0.0
Walmart,8.81251976047307,30.148105046661
